date,open,high,low,close,volume
2019-09-16T20:00:00,12387.68,12421.25,12362.98,12380.31,0
2019-09-17T20:00:00,12370.96,12392.97,12303.51,12372.61,0
2019-09-18T20:00:00,12361.23,12416.05,12354.49,12389.62,0
2019-09-19T20:00:00,12355.92,12466.78,12354.83,12457.70,0
2019-09-20T20:00:00,12462.57,12490.84,12418.50,12468.01,0
2019-09-23T20:00:00,12432.30,12441.02,12264.14,12342.33,0
2019-09-24T20:00:00,12368.96,12375.31,12307.15,12307.15,0
2019-09-25T20:00:00,12250.08,12261.06,12141.82,12234.18,0
2019-09-26T20:00:00,12227.77,12313.15,12223.29,12288.54,0
2019-09-27T20:00:00,12327.79,12404.47,12324.71,12380.94,0
2019-09-30T20:00:00,12367.81,12441.03,12346.94,12428.08,0
2019-10-01T20:00:00,12469.67,12497.28,12263.83,12263.83,0
2019-10-02T20:00:00,12221.74,12226.86,11925.25,11925.25,0
2019-10-04T20:00:00,11958.31,12012.91,11878.98,12012.81,0
2019-10-07T20:00:00,12008.77,12105.09,11969.32,12097.43,0
2019-10-08T20:00:00,12097.89,12097.94,11933.02,11970.20,0
2019-10-09T20:00:00,11973.82,12165.53,11953.12,12094.26,0
2019-10-10T20:00:00,12082.89,12202.71,12029.46,12164.20,0
2019-10-11T20:00:00,12248.88,12511.65,12240.94,12511.65,0
2019-10-14T20:00:00,12468.78,12495.24,12387.95,12486.56,0
2019-10-15T20:00:00,12565.68,12682.40,12511.90,12629.79,0
2019-10-16T20:00:00,12644.18,12698.37,12603.83,12670.11,0
2019-10-17T20:00:00,12655.32,12814.49,12647.86,12654.95,0
2019-10-18T20:00:00,12637.01,12700.38,12603.17,12633.60,0
2019-10-21T20:00:00,12661.93,12787.35,12646.28,12747.96,0
2019-10-22T20:00:00,12757.73,12791.31,12730.70,12754.69,0
2019-10-23T20:00:00,12702.92,12819.22,12699.85,12798.19,0
2019-10-24T20:00:00,12860.63,12914.24,12820.67,12872.10,0
2019-10-25T20:00:00,12886.42,12895.85,12834.00,12894.51,0
2019-10-28T20:00:00,12897.40,12986.49,12892.84,12941.71,0
2019-10-29T20:00:00,12946.34,12951.88,12897.34,12939.62,0
2019-10-30T20:00:00,12929.42,12944.26,12830.33,12910.23,0
2019-10-31T20:00:00,12937.59,12953.34,12795.09,12866.79,0
2019-11-01T20:00:00,12912.09,12992.07,12896.72,12961.05,0
2019-11-04T20:00:00,13022.95,13171.17,13019.18,13136.28,0
2019-11-05T20:00:00,13134.33,13166.08,13112.65,13148.50,0
2019-11-06T20:00:00,13150.94,13187.66,13110.91,13179.89,0
2019-11-07T20:00:00,13258.26,13300.76,13227.37,13289.46,0
2019-11-08T20:00:00,13248.62,13278.18,13195.83,13228.56,0
2019-11-11T20:00:00,13170.18,13225.62,13144.09,13198.37,0
2019-11-12T20:00:00,13243.53,13308.26,13214.66,13283.51,0
2019-11-13T20:00:00,13244.05,13273.82,13139.25,13230.07,0
2019-11-14T20:00:00,13198.33,13219.30,13159.69,13180.23,0
2019-11-15T20:00:00,13261.72,13261.72,13172.89,13241.75,0
2019-11-18T20:00:00,13255.78,13282.41,13137.88,13207.01,0
2019-11-19T20:00:00,13235.28,13374.27,13187.91,13221.12,0
2019-11-20T20:00:00,13127.45,13182.22,13071.33,13158.14,0
2019-11-21T20:00:00,13083.00,13171.85,13043.90,13137.70,0
2019-11-22T20:00:00,13145.77,13244.57,13120.63,13163.88,0
2019-11-25T20:00:00,13247.51,13268.97,13210.25,13246.45,0
2019-11-26T20:00:00,13256.40,13261.98,13193.75,13236.42,0
2019-11-27T20:00:00,13291.09,13314.92,13219.43,13287.07,0
2019-11-28T20:00:00,13247.61,13259.29,13215.71,13245.58,0
2019-11-29T20:00:00,13179.25,13290.33,13165.07,13236.38,0
2019-12-02T20:00:00,13264.93,13338.25,12954.50,12964.68,0
2019-12-03T20:00:00,13039.61,13086.03,12927.07,12989.29,0
2019-12-04T20:00:00,12998.66,13157.36,12995.32,13140.57,0
2019-12-05T20:00:00,13144.38,13188.64,13054.80,13054.80,0
2019-12-06T20:00:00,13087.51,13171.21,13055.98,13166.58,0
2019-12-09T20:00:00,13147.57,13170.77,13100.24,13105.61,0
2019-12-10T20:00:00,13065.83,13091.71,12886.55,13070.72,0
2019-12-11T20:00:00,13075.43,13169.77,13042.70,13146.74,0
2019-12-12T20:00:00,13167.56,13287.81,13105.07,13221.64,0
2019-12-13T20:00:00,13383.26,13423.41,13255.55,13282.72,0
2019-12-16T20:00:00,13349.86,13425.85,13338.38,13407.66,0
2019-12-17T20:00:00,13391.27,13394.47,13269.43,13287.83,0
2019-12-18T20:00:00,13266.35,13286.00,13215.88,13222.16,0
2019-12-19T20:00:00,13226.70,13248.98,13140.22,13211.96,0
2019-12-20T20:00:00,13210.26,13324.11,13201.80,13318.90,0
2019-12-23T20:00:00,13304.77,13331.86,13285.55,13300.98,0
2019-12-27T20:00:00,13338.32,13381.44,13311.52,13337.11,0
2019-12-30T20:00:00,13301.43,13316.62,13244.17,13249.01,0
2020-01-02T20:00:00,13233.71,13425.03,13225.16,13385.93,0
2020-01-03T20:00:00,13266.39,13282.74,13120.72,13219.14,0
2020-01-06T20:00:00,13085.49,13143.11,12948.17,13126.99,0
2020-01-07T20:00:00,13199.59,13283.88,13166.40,13226.83,0
2020-01-08T20:00:00,13140.49,13334.04,13106.27,13320.18,0
2020-01-09T20:00:00,13474.76,13523.34,13456.78,13495.06,0
2020-01-10T20:00:00,13533.46,13548.20,13483.31,13483.31,0
2020-01-13T20:00:00,13521.86,13529.21,13404.72,13451.52,0
2020-01-14T20:00:00,13439.20,13487.90,13362.20,13456.49,0
2020-01-15T20:00:00,13444.95,13458.91,13388.48,13432.30,0
2020-01-16T20:00:00,13463.46,13492.74,13382.98,13429.43,0
2020-01-17T20:00:00,13513.48,13557.78,13497.30,13526.13,0
2020-01-20T20:00:00,13503.83,13550.83,13487.21,13548.94,0
2020-01-21T20:00:00,13456.90,13560.68,13443.25,13555.87,0
2020-01-22T20:00:00,13601.65,13640.06,13498.03,13515.75,0
2020-01-23T20:00:00,13455.90,13486.14,13382.23,13388.42,0
